1, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
2, deeperdarker:ancient_temple, HEADING, header:ignore, 0, 0, 0
3, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
4, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
5, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
6, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
7, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
8, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
9, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
10, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
11, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
12, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
13, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
14, modern_beta:indev_stronghold, HEADING, header:ignore, 0, 0, 0
15, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
16, watching:leafless_grove, HEADING, header:ignore, 0, 0, 0
17, watching:logless_tree/acacia, HEADING, header:ignore, 0, 0, 0
18, watching:logless_tree/birch, HEADING, header:ignore, 0, 0, 0
19, watching:logless_tree/oak, HEADING, header:ignore, 0, 0, 0
20, watching:logless_tree/spruce, HEADING, header:ignore, 0, 0, 0
21, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
22, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
23, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
24, minecraft:monument, HEADING, header:ignore, 0, 0, 0
25, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
26, watching:mossy_pyramid, HEADING, header:ignore, 0, 0, 0
27, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
28, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
29, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
30, watching:ocean_sand_pyramid, HEADING, header:ignore, 0, 0, 0
31, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
32, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
33, watching:redstone_torch_trail, HEADING, header:ignore, 0, 0, 0
34, iguanatweaksexpanded:respawn_obelisk_birch, HEADING, header:ignore, 0, 0, 0
35, iguanatweaksexpanded:respawn_obelisk_deepslate, HEADING, header:ignore, 0, 0, 0
36, iguanatweaksexpanded:respawn_obelisk_desert, HEADING, header:ignore, 0, 0, 0
37, iguanatweaksexpanded:respawn_obelisk_jungle, HEADING, header:ignore, 0, 0, 0
38, iguanatweaksexpanded:respawn_obelisk_ocean, HEADING, header:ignore, 0, 0, 0
39, iguanatweaksexpanded:respawn_obelisk_snow, HEADING, header:ignore, 0, 0, 0
40, iguanatweaksexpanded:respawn_obelisk_stonebrick, HEADING, header:ignore, 0, 0, 0
41, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
42, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
43, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
44, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
45, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
46, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
47, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
48, watching:sand_pyramid, HEADING, header:ignore, 0, 0, 0
49, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
50, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
51, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
52, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
53, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
54, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
55, watching:torch_cave, HEADING, header:ignore, 0, 0, 0
56, watching:torch_tunnel/1x2/torchless_tunnel, HEADING, header:ignore, 0, 0, 0
57, watching:torch_tunnel/1x2/tunnel, HEADING, header:ignore, 0, 0, 0
58, watching:torch_tunnel/2x2_tunnel, HEADING, header:ignore, 0, 0, 0
59, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
60, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
61, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
62, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
63, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
64, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
